state,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,slope_deg,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,present_river_level_m,river_level_ratio,blocked,month
Meghalaya,15.411176,15.41117573,89.71116567,17.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,23.81,0.832,0,7
Arunachal Pradesh,0,0,25.03335911,27.4,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,61.41,0.581,0,6
Meghalaya,109.49781,117.2657452,117.4341401,20.4,1,Barak,20.5,FALSE,13.86,0.676,1,5
Assam,23.969921,53.5243969,80.61880302,6.2,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,70.92,0.671,1,7
Sikkim,25.574995,99.05313873,334.0716438,31.5,1,Teesta,15,FALSE,14.43,0.962,1,6
Assam,0,0,39.62506664,4.3,0,Brahmaputra (Tezpur gauge),65.23,TRUE,26.74,0.41,0,2
Assam,57.636723,137.1054955,169.1328747,10.2,0,Manas,33,FALSE,16.5,0.5,1,5
Assam,10.027816,17.79301548,101.9811244,8.7,2,Manas,33,FALSE,31.94,0.968,0,7
Meghalaya,8.591373,27.09467888,40.36492682,25.6,0,Brahmaputra (Guwahati gauge),49.68,TRUE,34.83,0.701,1,6
Arunachal Pradesh,10.756434,30.63878155,119.2044516,33.6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,50.1,0.474,1,8
Meghalaya,0,0,0,19.7,0,Brahmaputra (Goalpara gauge),36.27,TRUE,15.16,0.418,0,1
Tripura,0,0,0,12.7,0,Khowai,10,FALSE,9.63,0.963,0,10
Manipur,55.587208,124.0671463,235.108284,20.6,2,Barak,20.5,FALSE,13.94,0.68,1,6
Tripura,0,0,0,20.2,1,Gomti,12,FALSE,7.48,0.623,1,12
Tripura,0,0,0,20.2,1,Gomti,12,FALSE,4.58,0.382,1,12
Mizoram,7.295428,116.4902596,163.3160227,17.7,1,Tlawng,9,FALSE,4.73,0.526,1,8
Nagaland,0.71516675,7.151667193,24.84774621,18,1,Brahmaputra (Tezpur gauge),65.23,TRUE,26.94,0.413,1,5
Nagaland,3.269279,3.269279003,14.56875134,19.5,0,Kopili,30,FALSE,9.57,0.319,1,10
Assam,62.75609,112.880331,127.5033282,10.2,0,Manas,33,FALSE,15.77,0.478,0,5
