sample_id,date,source_year,state,district,district_dist_km,latitude,longitude,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,rainfall_bin,slope_deg,slope_bin,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,river_gauge_dist_km,present_river_level_m,river_level_ratio,river_bin,rainfall_risk,slope_risk,incident_risk,river_risk,rainfall_slope_interaction,rainfall_river_interaction,slope_rainfall_river_interaction,blocked
7499,25-07-2025,2025,Meghalaya,West Garo Hills (Tura),51.85746237670796,25.75,89.75,15.411176,15.411175727844238,89.71116567,low,17.5,moderate,0,Brahmaputra (Dhubri gauge),28.62,TRUE,37.8,23.81,0.832,moderate,0.058219444,0.39731466202150834,0,0.20424030228409157,0.023131438718594768,0.011890757,0.004724372,0
3998,11-06-2025,2025,Arunachal Pradesh,Upper Siang (Yingkiong),67.55720695,29,94.5,0,0,25.033359110355377,low,27.4,high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,173.5,61.41,0.581,low,0.03229546,0.7744014530142785,0,0.001692254,0.025009652500374895,5.4652136505901395e-05,4.2322693920504736e-05,0
3033,28-05-2024,2024,Meghalaya,West Jaintia Hills (Jowai),59.57476021229436,25.25,92.75,109.49781,117.26574516296387,117.43414010107517,high,20.4,high,1,Barak,20.5,FALSE,46.8,13.86,0.676,low,0.7270908,0.5166604965694114,0.3934693402873666,0.011206406321842876,0.3756590813619651,0.008148075,0.004209788,1
3197,29-07-2023,2023,Assam,Tinsukia,38.48392975097623,27.5,95.75,23.969921,53.524396896362305,80.61880302429199,low,6.2,low,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,83.9,70.92,0.671,low,0.080084234,0.091122961,0,0.010150801,0.007297513,0.000812919,7.407559712270732e-05,1
809,19-06-2024,2024,Sikkim,North Sikkim (Mangan),58.62863799512047,28,88.75,25.574995,99.05313873291016,334.0716438293457,low,31.5,very_high,1,Teesta,15,FALSE,94.8,14.43,0.962,high,0.08494346,0.8717662624074807,0.3934693402873666,0.7755640142690733,0.074050841,0.06587909,0.057431168,1
3439,16-02-2025,2025,Assam,Sonitpur (Tezpur),23.934065302701757,26.75,93,0,0,39.62506663799286,low,4.3,low,0,Brahmaputra (Tezpur gauge),65.23,TRUE,23.9,26.74,0.41,low,0.03229546,0.068073454,0,5.5448524722794907e-05,0.002198464,1.7907357089501454e-06,1.219015653129375e-07,0
4882,17-05-2025,2025,Assam,Barpeta,47.813818457160224,26.75,91,57.636723,137.10549545288086,169.1328746676445,moderate,10.2,moderate,0,Manas,33,FALSE,47.8,16.5,0.5,low,0.250766,0.1633742395133794,0,0.00033535,0.040968706,8.409441386567121e-05,1.3738860912627421e-05,1
2297,17-07-2023,2023,Assam,Bongaigaon,72.47350460852802,27,91,10.027816,17.793015480041504,101.98112440109253,low,8.7,low,2,Manas,33,FALSE,75.6,31.94,0.968,high,0.04747616,0.13200646895107074,0.6321205588285577,0.7957596977159079,0.00626716,0.037779615741988196,0.004987154,0
10370,26-06-2025,2025,Meghalaya,Ri Bhoi (Nongpoh),38.62899332,26,91.5,8.591373,27.09467887878418,40.36492681503296,low,25.6,high,0,Brahmaputra (Guwahati gauge),49.68,TRUE,27.8,34.83,0.701,low,0.04494432,0.717751057,0,0.018342890697743263,0.032258833,0.000824409,0.00059172,1
7336,07-08-2024,2024,Arunachal Pradesh,Dibang Valley (Anini),24.276265757145755,29,95.75,10.756434,30.638781547546387,119.20445156097412,low,33.6,very_high,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,188.4,50.1,0.474,low,0.04881166,0.9060785039807289,0,0.0001994,0.044227195160048506,9.733028115749637e-06,8.818887554320803e-06,1
1985,26-01-2024,2024,Meghalaya,East Garo Hills (Williamnagar),13.236422837073917,25.5,90.75,0,0,0,low,19.7,moderate,0,Brahmaputra (Goalpara gauge),36.27,TRUE,75.6,15.16,0.418,low,0.03229546,0.4875026035157896,0,6.506882052062285e-05,0.015744121681978734,2.1014276038555357e-06,1.024451427979521e-06,0
7767,03-10-2025,2025,Tripura,Dhalai (Ambassa),49.50143256834369,24.25,91.5,0,0,0,low,12.7,moderate,0,Khowai,10,FALSE,69.2,9.63,0.963,high,0.03229546,0.22852358724143548,0,0.779026108,0.007380275,0.025159007861434712,0.005749427,0
1136,20-06-2024,2024,Manipur,Imphal,96.88910587632489,25,93,55.587208,124.06714630126953,235.10828399658203,moderate,20.6,high,2,Barak,20.5,FALSE,29.1,13.94,0.68,low,0.23568,0.524979187,0.6321205588285577,0.012128434984274248,0.12372709437684117,0.00285843,0.001500616,1
9308,22-12-2025,2025,Tripura,West Tripura (Agartala),10.462664924585134,23.75,91.25,0,0,0,low,20.2,high,1,Gomti,12,FALSE,33.9,7.48,0.623,low,0.03229546,0.5083325618141193,0.3934693402873666,0.00391117,0.016416834803333016,0.000126313,6.420902399932218e-05,1
9841,01-12-2023,2023,Tripura,West Tripura (Agartala),10.462664924585134,23.75,91.25,0,0,0,low,20.2,high,1,Gomti,12,FALSE,33.9,4.58,0.382,low,0.03229546,0.5083325618141193,0.3934693402873666,3.167345296117477e-05,0.016416834803333016,1.022908788410222e-06,5.199778449147451e-07,1
10569,04-08-2024,2024,Mizoram,Saiha,49.32504022366385,22.5,92.5,7.295428,116.49025964736938,163.31602269411087,low,17.7,moderate,1,Tlawng,9,FALSE,138.6,4.73,0.526,low,0.042770978,0.40532318982985244,0.3934693402873666,0.000563939,0.017336069,2.4120231524035803e-05,9.776489180756753e-06,1
5035,09-05-2023,2023,Nagaland,Dimapur,81.22328923477602,26.5,93.25,0.71516675,7.151667192578316,24.847746208310127,low,18,moderate,1,Brahmaputra (Tezpur gauge),65.23,TRUE,47,26.94,0.413,low,0.03320155,0.4174297935376853,0.3934693402873666,5.8877068128218133e-05,0.013859315828607211,1.954809874340537e-06,8.159958822513987e-07,1
4659,01-10-2023,2023,Nagaland,Dimapur,61.05292866089159,26.25,93.25,3.269279,3.2692790031433105,14.568751335144043,low,19.5,moderate,0,Kopili,30,FALSE,57.9,9.57,0.319,low,0.036642037,0.47917871462725703,0,8.984506316404241e-06,0.017558084350099496,3.292106158557947e-07,1.5775071974742739e-07,1
10169,31-05-2025,2025,Assam,Barpeta,47.813818457160224,26.75,91,62.75609,112.88033103942871,127.50332815945148,moderate,10.2,moderate,0,Manas,33,FALSE,47.8,15.77,0.478,low,0.29116008,0.1633742395133794,0,0.000216003,0.047568056,6.289159062323277e-05,1.0274865789857435e-05,0
